properties.InterZone,x,y
S02001356,-2.5262320635151427,56.65414760230893
S02001357,-2.45932867191549,56.710836903651824
S02001358,-2.4676483741311626,56.72197986230618
S02001359,-2.5323685905839204,56.749144548919624
S02001360,-2.677573997524065,56.69395773801561
S02001361,-2.6476984795659226,56.7300659471563
S02001362,-2.6672434227532804,56.73440424452493
S02001363,-2.873919778358743,56.61319394642614
S02001364,-2.8811518658396538,56.649913766906025
S02001365,-2.8818775597684456,56.642781250537055
S02001366,-2.9023032667430653,56.638423934638126
S02001367,-3.065588059489569,56.62776094278385
S02001368,-3.0058476173701356,56.67689301587804
S02001369,-3.0195406981272592,56.818527033566475
S02001370,-6.0165077503226385,56.44054457437271
S02001371,-5.54456270460033,56.39674376621219
S02001372,-5.471701022835147,56.41936207328962
S02001373,-5.232520741404916,56.42611510425113
S02001374,-4.941990657004243,56.41863511727397
S02001375,-5.282582856095994,56.18731241765007
S02001376,-5.407477387678878,56.026580338476066
S02001377,-5.520619310599254,55.87754118032765
S02001378,-6.244734943366822,55.7602899520674
S02001379,-5.622296781769463,55.497817664750336
S02001380,-5.6041659332025455,55.42569766316006
S02001381,-5.099680044339353,55.830574715558605
S02001382,-5.055760389347112,55.83368618520716
S02001383,-5.215159625198733,55.98927223701327
S02001384,-4.910065250247648,56.179125402642924
S02001385,-4.925452225465377,55.969314904608915
S02001386,-4.93331582242301,55.94472568589934
S02001387,-4.815005843778861,56.05835446264503
S02001388,-4.772377898138379,56.0200882534892
S02001389,-4.721578969561983,56.011724783761935
S02001390,-4.730486494562093,56.00526747390694
S02001391,-4.712125282229737,55.99975376246396
S02001392,-4.6947990932557895,56.06213195341617
S02001393,-3.8458938770793876,56.12859988852227
S02001394,-3.82079156670054,56.164033396232334
S02001395,-3.8537607537322565,56.14964182068259
S02001396,-3.7991438798616066,56.15210701930138
S02001397,-3.740247725310675,56.166577509957975
S02001398,-3.7441337087848097,56.15313750991818
S02001399,-3.646742727926542,56.17358893752719
S02001400,-3.716766447320716,56.11085740815381
S02001401,-3.7591551575247455,56.126297812487536
S02001402,-3.7869557140391845,56.11398731341163
S02001403,-3.801745505533878,56.12408419986472
S02001404,-3.8188866436711635,56.116947254582364
S02001405,-5.039771050687824,54.907784608065576
S02001406,-5.017327585879256,54.90433022614143
S02001407,-5.024785463417396,54.89627962062901
S02001408,-5.052865960243775,54.91400995935082
S02001409,-4.964287539561183,54.7613886947959
S02001410,-4.722807083381086,54.944067381975835
S02001411,-4.481914870593327,54.798156430910446
S02001412,-4.431305212905552,55.023162333779936
S02001413,-4.154369657882213,54.92572446240394
S02001414,-3.967798864455355,54.857414037478776
S02001415,-3.8759324071920895,54.92098850661775
S02001416,-3.823032808443094,54.93108963694231
S02001417,-3.755740050506068,54.95572142836703
S02001418,-4.136027346139452,55.13855035897447
S02001419,-3.942700891171815,55.38154268669032
S02001420,-3.8693699454916617,55.2524990833035
S02001421,-3.651374833048849,55.17171725291372
S02001422,-3.755580365165987,55.087731490417134
S02001423,-3.634381145383731,55.08311769719524
S02001424,-3.62280054723405,55.07400016731665
S02001425,-3.6164211096711885,55.06285380268621
S02001426,-3.6421170669254983,54.97808700979701
S02001427,-3.509989174408562,55.00892875687894
S02001428,-3.581153960661002,55.059666374892885
S02001429,-3.5793203577543333,55.06507559102005
S02001430,-3.6018328778085245,55.06717458852351
S02001431,-3.6003153854649486,55.074964560169136
S02001432,-3.5799307290649285,55.103253884338514
S02001433,-3.5701648703879263,55.09357937671588
S02001434,-3.4989383607344715,55.058565354181006
S02001435,-3.4395780867251955,55.12232336040002
S02001436,-3.4151661209108615,55.20548485708937
S02001437,-3.4345019155004914,55.33425174774454
S02001438,-3.0633483262041756,55.22378419132288
S02001439,-3.1967705427446766,55.13903811280738
S02001440,-3.3472732621047783,55.04951679878636
S02001441,-3.2614214486158257,54.98653718923993
S02001442,-3.2131582374466814,55.01206809624574
S02001443,-3.1841990560048625,54.97845417050847
S02001444,-3.0929074475500387,55.010935850689535
S02001445,-3.019292835278147,56.456633830468675
S02001446,-2.984410214963815,56.45700002167454
S02001447,-2.9943528986478682,56.46394252109374
S02001448,-2.976571042147164,56.46284135645869
S02001449,-2.9592883011470454,56.464510925101685
S02001450,-2.9753054351292323,56.4720580848594
S02001451,-2.968372589513302,56.47705347602872
S02001452,-2.9592458070949097,56.470445167397074
S02001453,-2.950233080686545,56.47534315524936
S02001454,-2.9287175379133332,56.469698779245526
S02001455,-2.9147144418325523,56.48024983112619
S02001456,-2.8996426652314313,56.472544684023426
S02001457,-2.895465565512033,56.47885156312139
S02001458,-2.876776739417886,56.47048468339661
S02001459,-2.8692713232826956,56.47589118914412
S02001460,-2.8535457530394774,56.47337122348723
S02001461,-2.87308806821524,56.48707113835023
S02001462,-2.9232852861523866,56.48911339119295
S02001463,-2.9422368817777778,56.494556299305266
