date,anomaly
1897-11-01,-0.423
1897-12-01,-0.465
1898-01-01,-0.199
1898-02-01,-0.556
1898-03-01,-0.843
1898-04-01,-0.663
1898-05-01,-0.560
1898-06-01,-0.335
1898-07-01,-0.395
1898-08-01,-0.389
1898-09-01,-0.371
1898-10-01,-0.501
1898-11-01,-0.529
1898-12-01,-0.490
1899-01-01,-0.360
1899-02-01,-0.554
1899-03-01,-0.589
1899-04-01,-0.439
1899-05-01,-0.359
1899-06-01,-0.501
1899-07-01,-0.366
1899-08-01,-0.240
1899-09-01,-0.152
1899-10-01,-0.183
1899-11-01,-0.057
1899-12-01,-0.466
1900-01-01,-0.507
1900-02-01,-0.203
1900-03-01,-0.200
1900-04-01,-0.224
1900-05-01,-0.303
1900-06-01,-0.217
1900-07-01,-0.191
1900-08-01,-0.211
1900-09-01,-0.196
1900-10-01,-0.065
1900-11-01,-0.263
1900-12-01,-0.236
1901-01-01,-0.281
1901-02-01,-0.268
1901-03-01,-0.201
1901-04-01,-0.175
1901-05-01,-0.249
1901-06-01,-0.237
1901-07-01,-0.329
1901-08-01,-0.205
1901-09-01,-0.355
1901-10-01,-0.341
1901-11-01,-0.396
1901-12-01,-0.485
1902-01-01,-0.440
1902-02-01,-0.232
1902-03-01,-0.474
1902-04-01,-0.431
1902-05-01,-0.430
1902-06-01,-0.445
1902-07-01,-0.389
1902-08-01,-0.425
1902-09-01,-0.373
1902-10-01,-0.501
1902-11-01,-0.563
1902-12-01,-0.566
1903-01-01,-0.434
1903-02-01,-0.240
1903-03-01,-0.398
1903-04-01,-0.588
1903-05-01,-0.516
1903-06-01,-0.548
1903-07-01,-0.505
1903-08-01,-0.601
1903-09-01,-0.560
1903-10-01,-0.665
1903-11-01,-0.630
1903-12-01,-0.714
1904-01-01,-0.807
1904-02-01,-0.770
1904-03-01,-0.696
1904-04-01,-0.647
1904-05-01,-0.609
1904-06-01,-0.564
1904-07-01,-0.553
1904-08-01,-0.478
1904-09-01,-0.597
1904-10-01,-0.553
1904-11-01,-0.397
1904-12-01,-0.500
1905-01-01,-0.463
1905-02-01,-0.720
1905-03-01,-0.524
1905-04-01,-0.560
1905-05-01,-0.434
1905-06-01,-0.343
1905-07-01,-0.373
1905-08-01,-0.304
1905-09-01,-0.345
1905-10-01,-0.335
1905-11-01,-0.217
1905-12-01,-0.274
1906-01-01,-0.297
1906-02-01,-0.389
1906-03-01,-0.290
1906-04-01,-0.104
1906-05-01,-0.377
1906-06-01,-0.233
1906-07-01,-0.343
1906-08-01,-0.272
1906-09-01,-0.353
1906-10-01,-0.322
1906-11-01,-0.532
1906-12-01,-0.321
1907-01-01,-0.529
1907-02-01,-0.619
1907-03-01,-0.438
1907-04-01,-0.478
1907-05-01,-0.645
1907-06-01,-0.544
1907-07-01,-0.425
1907-08-01,-0.491
1907-09-01,-0.399
1907-10-01,-0.336
1907-11-01,-0.556
1907-12-01,-0.590
1908-01-01,-0.466
1908-02-01,-0.414
1908-03-01,-0.704
1908-04-01,-0.588
1908-05-01,-0.453
1908-06-01,-0.413
1908-07-01,-0.401
1908-08-01,-0.481
1908-09-01,-0.388
1908-10-01,-0.575
1908-11-01,-0.645
1908-12-01,-0.638
1909-01-01,-0.763
1909-02-01,-0.535
1909-03-01,-0.652
1909-04-01,-0.633
1909-05-01,-0.592
1909-06-01,-0.500
1909-07-01,-0.524
1909-08-01,-0.337
1909-09-01,-0.416
1909-10-01,-0.494
1909-11-01,-0.387
1909-12-01,-0.596
1910-01-01,-0.433
1910-02-01,-0.529
1910-03-01,-0.619
1910-04-01,-0.535
1910-05-01,-0.537
1910-06-01,-0.559
1910-07-01,-0.435
1910-08-01,-0.389
1910-09-01,-0.423
1910-10-01,-0.485
1910-11-01,-0.672
1910-12-01,-0.757
1911-01-01,-0.668
1911-02-01,-0.706
1911-03-01,-0.764
1911-04-01,-0.644
1911-05-01,-0.627
1911-06-01,-0.554
1911-07-01,-0.493
1911-08-01,-0.506
1911-09-01,-0.498
1911-10-01,-0.345
1911-11-01,-0.349
1911-12-01,-0.315
1912-01-01,-0.329
1912-02-01,-0.315
1912-03-01,-0.554
1912-04-01,-0.338
1912-05-01,-0.335
1912-06-01,-0.285
1912-07-01,-0.507
1912-08-01,-0.572
1912-09-01,-0.644
1912-10-01,-0.679
1912-11-01,-0.558
1912-12-01,-0.591
1913-01-01,-0.564
1913-02-01,-0.550
1913-03-01,-0.606
1913-04-01,-0.534
1913-05-01,-0.541
1913-06-01,-0.551
1913-07-01,-0.477
1913-08-01,-0.396
1913-09-01,-0.417
1913-10-01,-0.438
1913-11-01,-0.368
1913-12-01,-0.164
1914-01-01,-0.078
1914-02-01,-0.270
1914-03-01,-0.397
1914-04-01,-0.409
1914-05-01,-0.308
1914-06-01,-0.308
1914-07-01,-0.297
1914-08-01,-0.244
1914-09-01,-0.301
1914-10-01,-0.110
1914-11-01,-0.190
1914-12-01,-0.237
1915-01-01,-0.287
1915-02-01,-0.220
1915-03-01,-0.194
1915-04-01,-0.083
1915-05-01,-0.168
1915-06-01,-0.172
1915-07-01,-0.169
1915-08-01,-0.067
1915-09-01,-0.120
1915-10-01,-0.286
1915-11-01,-0.173
1915-12-01,-0.362
1916-01-01,-0.338
1916-02-01,-0.264
1916-03-01,-0.439
1916-04-01,-0.375
1916-05-01,-0.418
1916-06-01,-0.495
1916-07-01,-0.385
1916-08-01,-0.297
1916-09-01,-0.322
1916-10-01,-0.374
1916-11-01,-0.514
1916-12-01,-0.821
1917-01-01,-0.689
1917-02-01,-0.716
1917-03-01,-0.784
1917-04-01,-0.546
1917-05-01,-0.644
1917-06-01,-0.479
1917-07-01,-0.245
1917-08-01,-0.333
1917-09-01,-0.298
1917-10-01,-0.535
1917-11-01,-0.459
1917-12-01,-0.786
1918-01-01,-0.518
1918-02-01,-0.672
1918-03-01,-0.579
1918-04-01,-0.623
1918-05-01,-0.525
1918-06-01,-0.386
1918-07-01,-0.369
1918-08-01,-0.430
1918-09-01,-0.258
1918-10-01,-0.119
1918-11-01,-0.190
1918-12-01,-0.424
1919-01-01,-0.251
1919-02-01,-0.242
1919-03-01,-0.392
1919-04-01,-0.211
1919-05-01,-0.308
1919-06-01,-0.358
1919-07-01,-0.300
1919-08-01,-0.238
1919-09-01,-0.286
1919-10-01,-0.259
1919-11-01,-0.557
1919-12-01,-0.503
1920-01-01,-0.258
1920-02-01,-0.546
1920-03-01,-0.172
1920-04-01,-0.336
1920-05-01,-0.256
1920-06-01,-0.238
1920-07-01,-0.300
1920-08-01,-0.226
1920-09-01,-0.196
1920-10-01,-0.218
1920-11-01,-0.345
1920-12-01,-0.488
1921-01-01,-0.217
1921-02-01,-0.295
1921-03-01,-0.342
1921-04-01,-0.291
1921-05-01,-0.301
1921-06-01,-0.154
1921-07-01,-0.155
1921-08-01,-0.321
1921-09-01,-0.207
1921-10-01,-0.134
1921-11-01,-0.196
1921-12-01,-0.271
1922-01-01,-0.419
1922-02-01,-0.409
1922-03-01,-0.344
1922-04-01,-0.291
1922-05-01,-0.469
1922-06-01,-0.293
1922-07-01,-0.259
1922-08-01,-0.356
1922-09-01,-0.324
1922-10-01,-0.345
1922-11-01,-0.255
1922-12-01,-0.305
1923-01-01,-0.404
1923-02-01,-0.494
1923-03-01,-0.455
1923-04-01,-0.410
1923-05-01,-0.404
1923-06-01,-0.252
1923-07-01,-0.419
1923-08-01,-0.324
1923-09-01,-0.341
1923-10-01,-0.176
1923-11-01,-0.033
1923-12-01,-0.100
1924-01-01,-0.327
1924-02-01,-0.315
1924-03-01,-0.176
1924-04-01,-0.342
1924-05-01,-0.217
1924-06-01,-0.275
1924-07-01,-0.294
1924-08-01,-0.317
1924-09-01,-0.330
1924-10-01,-0.366
1924-11-01,-0.291
1924-12-01,-0.492
1925-01-01,-0.491
1925-02-01,-0.485
1925-03-01,-0.374
1925-04-01,-0.307
1925-05-01,-0.305
1925-06-01,-0.334
1925-07-01,-0.331
1925-08-01,-0.168
1925-09-01,-0.259
1925-10-01,-0.288
1925-11-01,-0.059
1925-12-01,0.014
1926-01-01,0.083
1926-02-01,-0.035
1926-03-01,0.024
1926-04-01,-0.158
1926-05-01,-0.270
1926-06-01,-0.183
1926-07-01,-0.208
1926-08-01,-0.100
1926-09-01,-0.118
1926-10-01,-0.070
1926-11-01,-0.116
1926-12-01,-0.322
1927-01-01,-0.311
1927-02-01,-0.212
1927-03-01,-0.419
1927-04-01,-0.314
1927-05-01,-0.230
1927-06-01,-0.248
1927-07-01,-0.205
1927-08-01,-0.213
1927-09-01,-0.119
1927-10-01,-0.029
1927-11-01,-0.126
1927-12-01,-0.323
1928-01-01,-0.017
1928-02-01,-0.124
1928-03-01,-0.319
1928-04-01,-0.235
1928-05-01,-0.301
1928-06-01,-0.326
1928-07-01,-0.188
1928-08-01,-0.178
1928-09-01,-0.207
1928-10-01,-0.184
1928-11-01,-0.172
1928-12-01,-0.226
1929-01-01,-0.436
1929-02-01,-0.603
1929-03-01,-0.487
1929-04-01,-0.437
1929-05-01,-0.434
1929-06-01,-0.409
1929-07-01,-0.439
1929-08-01,-0.266
1929-09-01,-0.277
1929-10-01,-0.221
1929-11-01,-0.140
1929-12-01,-0.560
1930-01-01,-0.363
1930-02-01,-0.356
1930-03-01,-0.247
1930-04-01,-0.231
1930-05-01,-0.251
1930-06-01,-0.204
1930-07-01,-0.188
1930-08-01,-0.098
1930-09-01,-0.092
1930-10-01,-0.091
1930-11-01,0.064
1930-12-01,-0.065
1931-01-01,-0.137
1931-02-01,-0.259
1931-03-01,-0.109
1931-04-01,-0.171
1931-05-01,-0.193
1931-06-01,-0.025
1931-07-01,-0.008
1931-08-01,-0.027
1931-09-01,-0.052
1931-10-01,-0.027
1931-11-01,-0.136
1931-12-01,-0.097
1932-01-01,0.080
1932-02-01,-0.178
1932-03-01,-0.195
1932-04-01,-0.061
1932-05-01,-0.160
1932-06-01,-0.255
1932-07-01,-0.130
1932-08-01,-0.190
1932-09-01,-0.001
1932-10-01,-0.094
1932-11-01,-0.295
1932-12-01,-0.267
1933-01-01,-0.311
1933-02-01,-0.351
1933-03-01,-0.385
1933-04-01,-0.285
1933-05-01,-0.277
1933-06-01,-0.324
1933-07-01,-0.290
1933-08-01,-0.154
1933-09-01,-0.327
