formOfNode,longitude,latitude
source,-3.142,52.915
source,-3.156,52.917
junction,-3.076,52.925
junction,-3.157,52.926
junction,-3.156,52.926
junction,-3.146,52.931
junction,-3.187,52.931
junction,-3.179,52.932
junction,-3.181,52.933
junction,-3.140,52.935
source,-3.181,52.939
source,-3.080,52.944
source,-3.157,52.945
junction,-3.065,52.946
source,-2.790,52.909
source,-2.783,52.910
source,-2.786,52.918
outlet,-2.759,52.930
source,-2.773,52.931
outlet,-2.765,52.931
source,-2.841,52.943
source,-3.353,52.936
junction,-3.353,52.942
source,-3.349,52.897
source,-3.342,52.900
junction,-3.340,52.900
junction,-3.337,52.900
source,-3.336,52.900
source,-3.336,52.934
source,-3.316,52.913
source,-3.313,52.969
source,-3.304,52.927
junction,-3.293,52.910
source,-3.291,52.953
source,-3.287,52.958
junction,-3.284,52.901
junction,-3.285,52.957
source,-3.266,52.906
source,-3.264,52.922
source,-3.265,52.936
source,-3.254,52.900
outlet,-3.254,52.926
source,-3.254,52.926
source,-3.255,52.954
junction,-3.055,52.929
source,-3.063,52.929
junction,-3.022,52.943
source,-3.022,52.943
junction,-3.062,52.955
junction,-3.030,52.956
source,-3.002,52.958
source,-3.241,52.845
source,-3.335,52.844
source,-3.190,52.846
source,-3.344,52.847
junction,-3.224,52.850
source,-3.225,52.854
junction,-3.302,52.857
source,-3.328,52.858
source,-3.258,52.861
junction,-3.305,52.864
source,-3.206,52.866
source,-3.276,52.874
source,-3.309,52.876
source,-3.343,52.876
junction,-3.342,52.877
source,-3.194,52.881
source,-3.228,52.887
junction,-3.253,52.887
source,-3.225,52.890
junction,-3.225,52.890
junction,-3.235,52.892
junction,-3.224,52.893
junction,-3.225,52.894
source,-3.251,52.895
junction,-3.242,52.895
junction,-3.277,52.896
junction,-3.245,52.898
source,-3.183,52.895
source,-3.182,52.876
junction,-3.182,52.875
junction,-3.178,52.871
junction,-3.175,52.865
source,-3.173,52.876
source,-3.165,52.847
junction,-3.164,52.846
junction,-3.163,52.847
source,-3.161,52.899
source,-3.157,52.899
junction,-3.156,52.898
junction,-3.154,52.854
junction,-3.154,52.897
junction,-3.154,52.899
source,-3.259,52.808
junction,-3.244,52.808
junction,-3.258,52.808
source,-3.246,52.808
junction,-3.248,52.809
junction,-3.261,52.809
source,-3.275,52.809
junction,-3.274,52.809
junction,-3.269,52.810
junction,-3.281,52.810
source,-3.269,52.810
junction,-3.267,52.810
source,-3.236,52.814
source,-3.213,52.820
junction,-3.184,52.825
source,-3.190,52.825
junction,-3.282,52.827
junction,-3.244,52.828
junction,-3.182,52.828
source,-3.205,52.828
junction,-3.204,52.831
junction,-3.194,52.832
source,-3.195,52.832
source,-3.206,52.832
source,-3.225,52.835
source,-3.281,52.837
junction,-3.189,52.842
junction,-3.356,52.813
source,-3.353,52.818
junction,-3.346,52.811
source,-3.345,52.810
junction,-3.345,52.843
junction,-3.341,52.812
source,-3.340,52.819
junction,-3.338,52.840
source,-3.336,52.812
junction,-3.335,52.812
source,-3.331,52.822
junction,-3.328,52.787
source,-3.324,52.804
junction,-3.320,52.811
source,-3.318,52.820
junction,-3.318,52.818
junction,-3.304,52.812
junction,-3.303,52.783
junction,-3.303,52.781
source,-3.303,52.841
junction,-3.300,52.777
junction,-3.300,52.841
source,-3.298,52.786
junction,-3.292,52.813
source,-3.288,52.807
junction,-3.287,52.832
source,-3.286,52.830
junction,-3.284,52.810
source,-3.281,52.778
junction,-3.206,52.776
junction,-3.181,52.778
