longitude,latitude,region
-3.76084,51.72304,8.0
-0.8664558,53.125454,1.0
-1.3417869,51.457348,6.0
-2.28866,53.032173,4.0
-1.6503326,54.983273,7.0
-1.5780935,54.983185,7.0
-1.6795851,55.02244,7.0
-3.038252,51.568977,8.0
-3.5729408,50.549694,10.0
-1.5192386,50.849342,6.0
-1.7494974,50.871883,6.0
-1.3267049,53.69982,5.0
-0.87599605,52.264004,1.0
-0.87947917,52.245,1.0
-3.9133437,51.068462,10.0
-2.161526,50.903442,10.0
-1.6311487,54.86161,7.0
-0.3937029,52.17455,9.0
0.10273037,52.5329,9.0
-1.4640234,53.244568,1.0
-0.99093527,51.269726,6.0
-0.058332536,51.936142,9.0
-2.4730198,51.355114,10.0
-2.717539,52.169018,4.0
-2.7708685,52.866425,4.0
-2.746156,51.41882,10.0
-1.7423818,51.61986,10.0
1.2473148,51.350086,6.0
-1.5453835,55.01815,7.0
-1.6291742,52.545147,4.0
-0.24448141,52.465992,9.0
-1.947983,54.77383,7.0
-1.3720967,51.26425,6.0
-1.4053891,52.751812,1.0
0.5309873,52.828033,9.0
-2.0466318,51.528683,10.0
1.2870421,52.624973,9.0
-1.1351808,52.965744,1.0
-1.2001681,52.986156,1.0
-1.1872873,52.933514,1.0
-1.5166955,52.52177,4.0
-3.7211907,56.31612,11.0
-3.5531647,51.576904,8.0
-2.0218115,53.5586,3.0
-2.1395376,53.54646,3.0
0.1224576,51.439556,2.0
0.080820665,51.3545,2.0
-1.237767,51.75485,6.0
-1.2985939,51.744995,6.0
-4.499959,55.88272,11.0
-4.573041,55.814114,11.0
-2.1786227,53.867744,3.0
-1.6214755,53.500816,5.0
-2.6799762,54.72156,3.0
-3.8629606,56.660065,11.0
-0.15556848,52.618515,9.0
-4.143882,50.411552,10.0
-3.3535044,51.568283,8.0
-1.9610738,50.71469,10.0
-0.02979858,51.5087,2.0
-1.0941375,50.830612,6.0
-2.709856,53.770977,3.0
-1.6790608,53.82605,5.0
-0.2169035,51.450905,2.0
0.6813898,51.60564,9.0
-0.9519146,51.45478,6.0
-1.0386872,51.45415,6.0
-1.1144897,54.595367,7.0
-1.9801952,52.245304,4.0
-0.19059722,51.25874,6.0
-3.4904993,51.65575,8.0
-2.4599736,53.89254,3.0
-1.7321124,54.367123,5.0
-0.27331755,51.44874,2.0
-2.1120126,53.633213,3.0
0.56230056,51.437927,6.0
0.85702765,51.566345,9.0
0.18206172,51.597294,2.0
-1.5028602,51.066826,6.0
-2.3546007,53.682068,3.0
-1.3673531,53.428074,5.0
-1.238398,53.373558,5.0
-1.3363695,52.420944,4.0
-0.42547458,51.58974,2.0
-0.52597505,51.384834,6.0
-1.0797642,52.876564,1.0
-4.1412325,55.80631,11.0
-0.79284984,52.7041,1.0
0.31212106,51.89937,9.0
-2.3053598,53.49919,3.0
-1.8213764,51.09595,10.0
-0.67228514,54.38891,5.0
-0.59499794,53.529285,5.0
-1.5121971,54.611233,7.0
-3.0149028,53.521336,3.0
-1.1934794,53.836315,5.0
0.17889902,51.310173,6.0
-1.4663419,53.414562,5.0
-1.4691135,53.373215,5.0
-1.5852971,53.379845,5.0
-1.4594431,53.343975,5.0
-1.3946873,53.361095,5.0
-1.0826206,53.11542,1.0
-1.8134123,53.85203,5.0
-2.778279,52.667656,4.0
0.7740449,51.36579,6.0
-1.9563491,54.089592,5.0
-0.48499468,53.060005,1.0
-0.6015138,51.510952,6.0
-1.8018419,52.416462,4.0
-2.5504744,51.103447,10.0
-1.3703645,50.90442,6.0
-1.4293517,50.925827,6.0
0.6624429,51.550392,9.0
-3.024908,53.644527,3.0
0.44080988,51.52833,9.0
0.01738133,52.163567,9.0
-1.5596161,52.834824,1.0
-2.185207,50.656178,10.0
0.2865204,52.2619,9.0
-0.044713914,52.79096,1.0
-1.2019897,52.51809,1.0
1.3056931,52.50907,9.0
-1.0421029,52.122604,1.0
-2.8432608,53.69249,3.0
-1.4061034,54.9742,7.0
-2.1830924,52.575,4.0
0.8892649,52.058067,9.0
-1.7395841,51.53324,10.0
1.3203381,51.294186,6.0
-0.5772829,51.899113,9.0
-0.54593956,51.716312,9.0
0.5833395,52.55526,9.0
-0.6828211,51.152756,6.0
-2.1381583,51.147472,10.0
-0.45979944,51.422787,6.0
-1.9829886,53.094,4.0
-2.1222506,52.764996,4.0
-2.02983,53.476246,3.0
-0.18840256,51.874,9.0
-4.343041,56.24409,11.0
-2.1651342,53.418633,3.0
-1.3189956,54.594463,7.0
-1.3390098,54.51305,7.0
-2.15866,53.020256,4.0
-2.2026567,53.065704,4.0
-2.1506016,52.979427,4.0
