longitude,latitude,region
-0.6906364,52.88174,1.0
-6.2167654,56.74962,0
-1.0615298,54.523483,7.0
-1.2084013,51.770607,6.0
-6.1906905,50.30644,0
-1.5539571,56.178837,0
-4.8545623,56.077335,0
-0.79112464,54.1204,5.0
-6.20635,53.769417,0
-6.5248656,54.903347,12.0
-3.6430497,49.9735,0
-0.28936714,50.916286,6.0
0.8315578,50.70818,0
0.25753582,55.317516,0
-2.2473838,54.746773,7.0
-1.8920282,52.925884,4.0
-0.5864486,51.096268,2.0
-3.6263435,57.304226,11.0
0.07837372,50.777634,6.0
-1.8107831,52.642757,4.0
-6.8387966,52.356464,0
-6.491124,50.991108,0
1.4063482,52.6349,9.0
-5.125797,53.21215,0
-3.33231,55.63111,11.0
-5.067383,52.75904,0
-7.4881344,56.886147,0
-5.862449,51.532764,0
-4.4089856,55.654835,11.0
-2.4932423,52.19726,4.0
1.2979199,51.733147,9.0
-0.1441138,51.737507,2.0
-0.21184026,55.18864,0
-4.7814064,52.032387,0
-4.490959,50.583363,10.0
-0.88498944,51.922634,9.0
-0.92419523,55.01741,0
-2.0333838,50.607925,0
-5.0092425,50.891624,0
-2.8291194,55.505867,11.0
-0.13988434,50.83092,6.0
-7.294619,56.0545,0
1.3704766,52.91583,0
-1.2974344,50.18973,0
0.26868996,51.71601,2.0
-4.054178,50.9757,0
-2.105591,58.638817,0
-1.3800554,52.55153,4.0
-4.6337605,58.853756,0
-5.9785237,49.582787,0
-7.719859,55.564495,0
-7.5046387,56.175312,0
-2.0672746,56.28461,0
-1.4988581,52.271183,4.0
-6.7994113,55.87956,0
-4.9847674,53.839745,0
-2.8432472,57.66157,0
-4.420783,51.60238,0
-1.947835,53.86149,5.0
-6.5008326,58.521423,0
-2.4288943,52.458393,4.0
-6.222875,51.41899,0
-3.311362,56.256393,11.0
-5.369111,49.888344,0
-8.062519,54.62525,0
-3.8252594,54.590633,0
-0.60651165,51.22791,2.0
-7.610156,55.862198,0
1.1862272,53.621128,0
-1.8351548,50.684986,0
-1.8468426,50.981457,6.0
-3.8669646,51.109814,0
