code,label,lng,lat,easting,northing,population,households,populationDensity
E07000168,Scarborough,-0.6353,54.3664,488815,497619,108736,51123,133.2
E07000169,Selby,-1.1353,53.7875,457071,432688,91990,39560,153.5
E07000170,Ashfield,-1.2583,53.0918,449768,355201,126305,54508,1152.8
E07000171,Bassetlaw,-0.9588,53.3329,469431,382275,117804,51458,184.7
E07000172,Broxtowe,-1.2620,52.9757,449657,342283,110944,48361,1385
E07000173,Gedling,-1.1193,53.0286,459166,348277,117258,51551,977.4
E07000174,Mansfield,-1.1737,53.1710,455327,364075,110486,48030,1440.2
E07000175,Newark and Sherwood,-0.9199,53.1240,472378,359080,122954,53331,188.8
E07000176,Rushcliffe,-1.0374,52.9007,464834,334124,119078,49883,291
E07000177,Cherwell,-1.2761,51.9586,449860,229130,161013,65894,273.5
E07000178,Oxford,-1.2417,51.7547,452441,206500,162039,55238,3553
E07000179,South Oxfordshire,-1.0710,51.6338,464397,193175,149080,61497,219.7
E07000180,Vale of White Horse,-1.4409,51.6343,438787,192976,138910,57498,240.5
E07000181,West Oxfordshire,-1.5069,51.8377,434067,215553,114233,47981,159.9
E07000187,Mendip,-2.5444,51.2028,362056,144991,116090,50294,157
E07000188,Sedgemoor,-2.9533,51.1849,333465,143276,125354,53904,222.2
E07000189,South Somerset,-2.7099,50.9879,350246,121192,172675,75936,180
E07000192,Cannock Chase,-1.9805,52.7124,401418,312745,100529,43457,1274.3
E07000193,East Staffordshire,-1.8120,52.8631,412763,329519,124019,51293,320.5
E07000194,Lichfield,-1.8048,52.6879,413297,310036,106439,45630,321.3
E07000195,Newcastle-under-Lyme,-2.3179,52.9937,378749,344081,123306,53423,584.5
E07000196,South Staffordshire,-2.1765,52.6250,388140,303026,110474,46121,271.2
E07000197,Stafford,-2.1762,52.8482,388230,327866,136870,60047,228.8
E07000198,Staffordshire Moorlands,-1.9816,53.0792,401331,353540,95851,42355,166.4
E07000199,Tamworth,-1.6767,52.6263,421984,303220,78646,32895,2549.6
E07000200,Babergh,0.9150,52.0507,599986,243163,92332,40200,155.5
E07000202,Ipswich,1.1593,52.0552,616698,244356,139644,59507,3534.3
E07000203,Mid Suffolk,1.0926,52.2468,611211,265459,102702,44343,117.9
E07000207,Elmbridge,-0.3920,51.3572,512060,163238,138757,55590,1459.6
E07000208,Epsom and Ewell,-0.2616,51.3394,521188,161461,80939,31321,2375.4
E07000209,Guildford,-0.5622,51.2480,500446,150851,143646,55760,530.2
E07000210,Mole Valley,-0.3256,51.2122,517049,147214,87386,37139,338.3
