code,label,cx,cy,pop,households,popDen,deprivation,deprivation4
E07000171,Bassetlaw,469431,382275,38993124,51458,184.7,27365,73
E07000172,Broxtowe,449657,342283,36722464,48361,1385,24171,51
E07000173,Gedling,459166,348277,38812398,51551,977.4,25400,59
E07000174,Mansfield,455327,364075,36570866,48030,1440.2,27620,105
E07000175,Newark and Sherwood,472378,359080,40697774,53331,188.8,27129,98
E07000176,Rushcliffe,464834,334124,39414818,49883,291,20758,21
E07000177,Cherwell,449860,229130,53295303,65894,273.5,30241,95
E07000178,Oxford,452441,206500,53634909,55238,3553,26407,146
E07000179,South Oxfordshire,464397,193175,49345480,61497,219.7,25422,45
E07000180,Vale of White Horse,438787,192976,45979210,57498,240.5,24064,49
E07000181,West Oxfordshire,434067,215553,37811123,47981,159.9,20816,40
E07000187,Mendip,362056,144991,38425790,50294,157,24434,61
E07000188,Sedgemoor,333465,143276,41492174,53904,222.2,28315,91
E07000189,South Somerset,350246,121192,57155425,75936,180,37615,104
E07000192,Cannock Chase,401418,312745,33275099,43457,1274.3,23653,65
E07000193,East Staffordshire,412763,329519,41050289,51293,320.5,25975,94
E07000194,Lichfield,413297,310036,35231309,45630,321.3,21899,60
E07000195,Newcastle-under-Lyme,378749,344081,40814286,53423,584.5,28440,80
E07000196,South Staffordshire,388140,303026,36566894,46121,271.2,22928,35
E07000197,Stafford,388230,327866,45303970,60047,228.8,28232,79
E07000198,Staffordshire Moorlands,401331,353540,31726681,42355,166.4,21463,23
E07000199,Tamworth,421984,303220,26031826,32895,2549.6,17862,40
E07000200,Babergh,599986,243163,30561892,40200,155.5,19624,37
E07000202,Ipswich,616698,244356,46222164,59507,3534.3,32612,156
E07000203,Mid Suffolk,611211,265459,33994362,44343,117.9,21209,41
E07000207,Elmbridge,512060,163238,45928567,55590,1459.6,21198,54
E07000208,Epsom and Ewell,521188,161461,26790809,31321,2375.4,13282,55
E07000209,Guildford,500446,150851,47546826,55760,530.2,23577,88
E07000210,Mole Valley,517049,147214,28924766,37139,338.3,16078,86
E07000211,Reigate and Banstead,526286,152009,49932012,59849,1168.1,25701,98
E07000212,Runnymede,501617,167042,29156135,34838,1128.6,16235,50
E07000213,Spelthorne,506652,170605,34077443,41805,2293.9,20522,89
E07000214,Surrey Heath,492648,161313,29942260,36008,951.2,15151,40
E07000215,Tandridge,536712,149345,29087618,35623,354.1,15684,50
E07000216,Waverley,495682,139877,42444461,52448,371.5,21220,45
E07000217,Woking,500423,158249,34404140,41437,1634.4,18145,76
E07000218,North Warwickshire,425346,294421,21526585,27580,228.8,14548,35
E07000219,Nuneaton and Bedworth,435701,289373,44421524,56586,1699.7,31093,150
E07000220,Rugby,445826,276476,37855146,47013,325.7,21920,44
E07000221,Stratford-on-Avon,425910,253437,44594637,59464,137.8,25860,30
E07000222,Warwick,428512,268090,49137612,62619,524.8,26664,111
E07000223,Adur,519857,106296,21365057,27678,1534.4,15094,92
E07000224,Arun,500922,105536,54580576,72661,746.1,39292,193
E07000225,Chichester,488437,116059,41066508,54118,157.8,25181,68
E07000226,Crawley,527313,137822,39221845,45502,2634.9,24570,119
E07000227,Horsham,514696,122819,48582856,62370,276.8,26998,88
E07000228,Mid Sussex,531427,126224,50500670,63349,456.8,27050,69
E07000229,Worthing,513043,104470,36852878,49538,3423.7,25883,183
E07000234,Bromsgrove,398961,273791,32830566,41266,457.1,18678,33
E07000235,Malvern Hills,376452,253907,26308873,34892,137.7,16514,33
E07000236,Redditch,403427,264902,28808254,36378,1604.4,19321,97
E07000237,Worcester,385680,255359,34379646,44722,3121.4,22321,108
E07000238,Wychavon,396608,251844,43855845,57356,199.7,27730,83
E07000239,Wyre Forest,381336,275771,33632579,45320,520,24524,106
E07000240,St Albans,514441,209482,49045263,58991,919.3,23218,59
E07000241,Welwyn Hatfield,524698,209206,39666709,46209,925,22403,76
E07000242,East Hertfordshire,537205,220364,49702960,62021,315.7,26576,40
E07000243,Stevenage,524559,224521,29624831,36511,3444.8,19091,125
E07000244,East Suffolk,636456,265500,81444205,110747,195.1,58822,219
E07000245,West Suffolk,578957,267629,59563781,78746,173.9,39891,106
E07000246,Somerset West and Taunton,304672,132836,52115288,69986,132.6,34721,71
E08000001,Bolton,369187,409211,97963091,118790,2117,67499,343
E08000002,Bury,379434,410155,64164681,80696,1948.6,42386,170
E08000003,Manchester,384645,394923,182693133,214732,4772.7,121196,752
E08000004,Oldham,396668,406152,80128811,93140,1700.5,55007,292
E08000005,Rochdale,389646,413331,74069525,90223,1415.6,51742,313
