id,cohort,session,attendance
49,PG Data Sci,8,1
49,PG Data Sci,9,1
49,PG Data Sci,10,1
50,PG Data Sci,1,1
50,PG Data Sci,2,0
50,PG Data Sci,3,0
50,PG Data Sci,4,0
50,PG Data Sci,5,0
50,PG Data Sci,6,0
50,PG Data Sci,7,0
50,PG Data Sci,8,0
50,PG Data Sci,9,0
50,PG Data Sci,10,0
51,PG Data Sci,1,1
51,PG Data Sci,2,1
51,PG Data Sci,3,1
51,PG Data Sci,4,1
51,PG Data Sci,5,0
51,PG Data Sci,6,1
51,PG Data Sci,7,1
51,PG Data Sci,8,0
51,PG Data Sci,9,1
51,PG Data Sci,10,1
52,PG Data Sci,1,1
52,PG Data Sci,2,1
52,PG Data Sci,3,0
52,PG Data Sci,4,0
52,PG Data Sci,5,0
52,PG Data Sci,6,0
52,PG Data Sci,7,0
52,PG Data Sci,8,0
52,PG Data Sci,9,0
52,PG Data Sci,10,0
53,PG Data Sci,1,1
53,PG Data Sci,2,1
53,PG Data Sci,3,1
53,PG Data Sci,4,1
53,PG Data Sci,5,1
53,PG Data Sci,6,1
53,PG Data Sci,7,1
53,PG Data Sci,8,1
53,PG Data Sci,9,1
53,PG Data Sci,10,1
54,PG Data Sci,1,1
54,PG Data Sci,2,1
54,PG Data Sci,3,1
54,PG Data Sci,4,1
54,PG Data Sci,5,1
54,PG Data Sci,6,1
54,PG Data Sci,7,1
54,PG Data Sci,8,1
54,PG Data Sci,9,1
54,PG Data Sci,10,1
55,PG Data Sci,1,1
55,PG Data Sci,2,1
55,PG Data Sci,3,1
55,PG Data Sci,4,1
55,PG Data Sci,5,0
55,PG Data Sci,6,1
55,PG Data Sci,7,1
55,PG Data Sci,8,1
55,PG Data Sci,9,1
55,PG Data Sci,10,1
56,PG Data Sci,1,1
56,PG Data Sci,2,1
56,PG Data Sci,3,1
56,PG Data Sci,4,1
56,PG Data Sci,5,1
56,PG Data Sci,6,0
56,PG Data Sci,7,1
56,PG Data Sci,8,1
56,PG Data Sci,9,1
56,PG Data Sci,10,1
57,PG Data Sci,1,1
57,PG Data Sci,2,1
57,PG Data Sci,3,1
57,PG Data Sci,4,1
57,PG Data Sci,5,1
57,PG Data Sci,6,1
57,PG Data Sci,7,1
57,PG Data Sci,8,1
57,PG Data Sci,9,1
57,PG Data Sci,10,1
58,PG Data Sci,1,1
58,PG Data Sci,2,1
58,PG Data Sci,3,1
58,PG Data Sci,4,1
58,PG Data Sci,5,0
58,PG Data Sci,6,1
