decade,cName,hex,hue,sat,lum,hueX,hueY,perc
2000s,Medium Blue,#7396c8,215,0.44,0.62,-0.57,-0.82,0.4947
2000s,Trans-Dark Blue,#042fca,227,0.96,0.40,-0.73,-0.68,0.4828
2000s,Trans-Neon Green,#faf15b,57,0.94,0.67,0.84,0.54,0.3372
2000s,Trans-Neon Orange,#fb7248,14,0.96,0.63,0.24,0.97,0.3228
2000s,Trans-Yellow,#faf15d,57,0.94,0.67,0.84,0.54,0.3134
2000s,Trans-Black,#8f8c80,48,0.06,0.53,0.74,0.67,0.2921
2000s,Dark Green,#00451a,143,1.00,0.14,0.60,-0.80,0.2817
2000s,Trans-Light Blue,#addded,195,0.64,0.80,-0.26,-0.97,0.2301
2000s,Flat Silver,#8c8c8c,0,0.00,0.55,0.00,1.00,0.209
2000s,Royal Blue,#1c58a7,214,0.71,0.38,-0.56,-0.83,0.1945
2000s,Trans-Orange,#e18d0a,37,0.91,0.46,0.60,0.80,0.1738
2000s,Sand Blue,#70819a,216,0.17,0.52,-0.59,-0.81,0.1621
2000s,Trans-Green,#73b464,109,0.35,0.55,0.95,-0.33,0.1583
2000s,Trans-Dark Pink,#f18ebb,333,0.78,0.75,-0.45,0.89,0.1503
2000s,Dark Tan,#897d62,42,0.17,0.46,0.67,0.74,0.1469
2000s,Metallic Silver,#cecece,0,0.00,0.81,0.00,1.00,0.1361
2000s,Dark Orange,#91501c,27,0.68,0.34,0.45,0.89,0.1345
2000s,Pearl Gold,#aa7f2e,39,0.57,0.42,0.63,0.78,0.114
2000s,Dark Pink,#d05098,326,0.58,0.56,-0.56,0.83,0.1135
2000s,Sand Red,#88605e,3,0.18,0.45,0.05,1.00,0.0932
2000s,Chrome Silver,#cecece,0,0.00,0.81,0.00,1.00,0.0872
2000s,Maersk Blue,#abd9ff,207,1.00,0.84,-0.45,-0.89,0.0818
2000s,Dark Brown,#372100,36,1.00,0.11,0.59,0.81,0.0816
2000s,Bright Green,#58ab41,107,0.45,0.46,0.96,-0.29,0.0816
2000s,Pearl Dark Gray,#484d48,120,0.03,0.29,0.87,-0.50,0.0676
2000s,Purple,#7454b8,259,0.41,0.53,-0.98,-0.19,0.0669
2000s,Dark Purple,#441a91,261,0.70,0.34,-0.99,-0.16,0.0661
2000s,Trans-Medium Blue,#00aefd,199,1.00,0.50,-0.33,-0.95,0.062
2000s,Dark Turquoise,#069d9f,181,0.93,0.32,-0.02,-1.00,0.0558
