DateTime,NOX
2018/01/09 06:00,50.4
2018/01/09 06:15,56.7
2018/01/09 06:30,59.5
2018/01/09 06:45,64
2018/01/09 07:00,82.6
2018/01/09 07:15,82.2
2018/01/09 07:30,80.4
2018/01/09 07:45,99.9
2018/01/09 08:00,85.1
2018/01/09 08:15,98.1
2018/01/09 08:30,81.5
2018/01/09 08:45,67.8
2018/01/09 09:00,79.9
2018/01/09 09:15,76.2
2018/01/09 09:30,95.4
2018/01/09 09:45,111.3
2018/01/09 10:00,130.8
2018/01/09 10:15,168.5
2018/01/09 10:30,129.2
2018/01/09 10:45,142.9
2018/01/09 11:00,167.5
2018/01/09 11:15,219.9
2018/01/09 11:30,164.2
2018/01/09 11:45,137.6
2018/01/09 12:00,132.5
2018/01/09 12:15,109.4
2018/01/09 12:30,98.9
2018/01/09 12:45,107.9
2018/01/09 13:00,107.4
2018/01/09 13:15,95.7
2018/01/09 13:30,99.2
2018/01/09 13:45,93.4
2018/01/09 14:00,91.7
2018/01/09 14:15,113.3
2018/01/09 14:30,101.2
2018/01/09 14:45,103.6
2018/01/09 15:00,188.1
2018/01/09 15:15,149.1
2018/01/09 15:30,220.8
2018/01/09 15:45,194.3
2018/01/09 16:00,164
2018/01/09 16:15,178.1
2018/01/09 16:30,116.5
2018/01/09 16:45,102.6
2018/01/09 17:00,105.4
2018/01/09 17:15,110.7
2018/01/09 17:30,114.1
2018/01/09 17:45,124.2
2018/01/09 18:00,147.7
2018/01/09 18:15,128.9
2018/01/09 18:30,121.9
2018/01/09 18:45,113.9
2018/01/09 19:00,104.3
2018/01/09 19:15,113.9
2018/01/09 19:30,91.1
2018/01/09 19:45,86.7
2018/01/09 20:00,62.2
2018/01/09 20:15,59.1
2018/01/09 20:30,71.9
2018/01/09 20:45,64.1
2018/01/09 21:00,71.3
2018/01/09 21:15,53.6
2018/01/09 21:30,44.7
2018/01/09 21:45,41.2
2018/01/09 22:00,47
2018/01/09 22:15,39.1
2018/01/09 22:30,36.8
2018/01/09 22:45,40.3
2018/01/09 23:00,38.8
2018/01/09 23:15,41.7
2018/01/09 23:30,32.1
2018/01/09 23:45,31.7
2018/01/10 00:00,33.2
2018/01/10 00:15,34
2018/01/10 00:30,32.2
2018/01/10 00:45,35.9
2018/01/10 01:00,31.6
2018/01/10 01:15,35
2018/01/10 01:30,29
2018/01/10 01:45,28.8
2018/01/10 02:00,35.4
2018/01/10 02:15,33.5
2018/01/10 02:30,29.6
2018/01/10 02:45,29.2
2018/01/10 03:00,29.4
2018/01/10 03:15,31.3
2018/01/10 03:30,41
2018/01/10 03:45,28.4
2018/01/10 04:00,26.4
2018/01/10 04:15,23.4
2018/01/10 04:30,31.7
2018/01/10 04:45,51.4
2018/01/10 05:00,58.4
2018/01/10 05:15,63.7
2018/01/10 05:30,72.6
2018/01/10 05:45,91
2018/01/10 06:00,131.2
2018/01/10 06:15,195
2018/01/10 06:30,189
2018/01/10 06:45,250.7
2018/01/10 07:00,252
2018/01/10 07:15,263.3
2018/01/10 07:30,347.1
2018/01/10 07:45,398.6
2018/01/10 08:00,426.6
2018/01/10 08:15,420.7
2018/01/10 08:30,422.8
2018/01/10 08:45,315.3
2018/01/10 09:00,383.5
2018/01/10 09:15,258.3
2018/01/10 09:30,343.8
2018/01/10 09:45,413.4
2018/01/10 10:00,340.6
2018/01/10 10:15,408.7
2018/01/10 10:30,315
2018/01/10 10:45,361.5
2018/01/10 11:00,361
2018/01/10 11:15,325.6
2018/01/10 11:30,337.8
2018/01/10 11:45,349.6
2018/01/10 12:00,308.6
2018/01/10 12:15,432.4
2018/01/10 12:30,294.4
2018/01/10 12:45,323.6
2018/01/10 13:00,361.7
2018/01/10 13:15,311
2018/01/10 13:30,301.7
2018/01/10 13:45,439.3
2018/01/10 14:00,324.6
2018/01/10 14:15,327.5
2018/01/10 14:30,442.7
2018/01/10 14:45,365.1
2018/01/10 15:00,396.9
2018/01/10 15:15,400.8
2018/01/10 15:30,440.1
2018/01/10 15:45,421.6
2018/01/10 16:00,409.8
2018/01/10 16:15,466.8
2018/01/10 16:30,567.4
2018/01/10 16:45,566.1
2018/01/10 17:00,420.3
2018/01/10 17:15,598.4
2018/01/10 17:30,434.4
2018/01/10 17:45,474.8
2018/01/10 18:00,507.7
2018/01/10 18:15,547.1
2018/01/10 18:30,644.4
2018/01/10 18:45,388.8
2018/01/10 19:00,479.6
2018/01/10 19:15,631.1
2018/01/10 19:30,370
2018/01/10 19:45,373.5
