week,qType,rank,question,relFreq
2020-11-01,how,9,How to self isolate,21
2020-11-08,how,9,How to self isolate,28
2020-11-15,how,9,How to self isolate,23
2020-11-22,how,9,How to self isolate,14
2020-11-29,how,9,How to self isolate,17
2020-12-06,how,9,How to self isolate,31
2020-12-13,how,9,How to self isolate,43
2020-12-20,how,9,How to self isolate,39
2020-01-05,how,10,How to treat coronavirus,0
2020-01-12,how,10,How to treat coronavirus,0
2020-01-19,how,10,How to treat coronavirus,9
2020-01-26,how,10,How to treat coronavirus,10
2020-02-02,how,10,How to treat coronavirus,3
2020-02-09,how,10,How to treat coronavirus,13
2020-02-16,how,10,How to treat coronavirus,1
2020-02-23,how,10,How to treat coronavirus,31
2020-03-01,how,10,How to treat coronavirus,31
2020-03-08,how,10,How to treat coronavirus,100
2020-03-15,how,10,How to treat coronavirus,63
2020-03-22,how,10,How to treat coronavirus,57
2020-03-29,how,10,How to treat coronavirus,40
2020-04-05,how,10,How to treat coronavirus,16
2020-04-12,how,10,How to treat coronavirus,26
2020-04-19,how,10,How to treat coronavirus,9
2020-04-26,how,10,How to treat coronavirus,3
2020-05-03,how,10,How to treat coronavirus,6
2020-05-10,how,10,How to treat coronavirus,8
2020-05-17,how,10,How to treat coronavirus,3
2020-05-24,how,10,How to treat coronavirus,3
2020-05-31,how,10,How to treat coronavirus,6
2020-06-07,how,10,How to treat coronavirus,4
2020-06-14,how,10,How to treat coronavirus,5
2020-06-21,how,10,How to treat coronavirus,1
2020-06-28,how,10,How to treat coronavirus,4
2020-07-05,how,10,How to treat coronavirus,5
2020-07-12,how,10,How to treat coronavirus,8
2020-07-19,how,10,How to treat coronavirus,3
2020-07-26,how,10,How to treat coronavirus,4
2020-08-02,how,10,How to treat coronavirus,4
2020-08-09,how,10,How to treat coronavirus,0
2020-08-16,how,10,How to treat coronavirus,1
2020-08-23,how,10,How to treat coronavirus,1
2020-08-30,how,10,How to treat coronavirus,3
2020-09-06,how,10,How to treat coronavirus,6
2020-09-13,how,10,How to treat coronavirus,6
2020-09-20,how,10,How to treat coronavirus,1
2020-09-27,how,10,How to treat coronavirus,4
2020-10-04,how,10,How to treat coronavirus,4
2020-10-11,how,10,How to treat coronavirus,6
2020-10-18,how,10,How to treat coronavirus,3
2020-10-25,how,10,How to treat coronavirus,3
2020-11-01,how,10,How to treat coronavirus,3
2020-11-08,how,10,How to treat coronavirus,1
2020-11-15,how,10,How to treat coronavirus,7
2020-11-22,how,10,How to treat coronavirus,0
2020-11-29,how,10,How to treat coronavirus,1
2020-12-06,how,10,How to treat coronavirus,1
2020-12-13,how,10,How to treat coronavirus,0
2020-12-20,how,10,How to treat coronavirus,4
2020-01-05,when,1,When will lockdown end?,0
2020-01-12,when,1,When will lockdown end?,0
2020-01-19,when,1,When will lockdown end?,0
