id,sGroup,sTime,Villaines,Fougeres,Tinteniac,Loudeac,St Nicolas,Carhaix,Brest,Carhaix2,Loudeac2,Tinteniac2,Fougeres2,Villaines2,Mortagne,Dreux,Guyancourt
N333,90h,2015-08-16T19:02Z,38758,56220,68598,86369,99240,110766,138299,165650,185725,217278,229541,250742,272299,293853,309744
M094,90h,2015-08-16T18:46Z,35877,55128,66669,87475,101786,111705,135507,159628,183380,219004,233600,254674,275375,296085,309772
J324,90h,2015-08-16T18:01Z,32215,47818,61219,77240,88775,94518,111850,148072,166341,182139,194574,233625,255501,288548,309807
G091,90h,2015-08-16T17:31Z,35503,54798,63989,88704,104943,123194,146441,169558,187199,219348,231195,249285,270508,290599,309820
J026,90h,2015-08-16T18:01Z,32948,51914,65293,84232,96173,102657,140691,158843,177511,195995,221559,243201,260428,276110,309827
M079,90h,2015-08-16T18:47Z,43100,61686,75634,92592,103928,124053,144533,164979,184346,217598,230190,249289,268051,292642,309855
G203,90h,2015-08-16T17:31Z,37695,58692,70238,87446,117423,125521,147463,167357,184807,223668,233852,250600,266102,285679,309856
G300,90h,2015-08-16T17:32Z,35823,52767,65507,86598,98701,105057,143905,164418,181296,201053,228975,252458,272820,294751,309893
T291,90h,2015-08-16T20:02Z,36548,53746,65543,82933,95353,101819,134198,152444,170682,191604,221050,239996,257859,277218,309930
P068,90h,2015-08-16T19:16Z,41491,60364,73631,91936,109720,123314,144424,165116,188715,225257,233405,254847,276021,293457,309937
P004,90h,2015-08-16T19:16Z,41494,60367,73637,91940,109725,123319,144426,165119,188716,225259,233404,254849,276025,293462,309938
R322,90h,2015-08-16T19:30Z,32736,52753,61524,81904,93130,113917,131354,149132,167853,206377,217890,237205,256383,298610,309944
N019,90h,2015-08-16T19:01Z,35149,60963,71829,89715,99816,105891,142120,164502,183255,210541,229242,246963,263174,288229,309969
N148,90h,2015-08-16T19:02Z,36743,55447,67364,83636,113056,119118,137524,155795,175597,207443,221959,243834,268638,293898,309983
T089,90h,2015-08-16T20:03Z,36662,55012,66304,87414,118923,124322,143277,159651,175944,213530,234086,250194,267352,294322,310001
K016,90h,2015-08-16T18:17Z,35875,57589,72114,89036,120455,127085,147003,165868,192402,214969,236309,254564,270591,295236,310072
M023,90h,2015-08-16T18:46Z,36845,55474,70041,90291,102814,127652,147940,167163,182584,203559,219014,239066,256650,273327,310095
L299,90h,2015-08-16T18:31Z,35451,61017,72395,89014,100450,128948,148799,168320,182871,222415,234179,251367,267042,287906,310098
T152,90h,2015-08-16T20:01Z,33646,49915,61952,78442,91500,123060,141786,163881,184434,220087,230887,252182,269465,288389,310098
T125,90h,2015-08-16T20:01Z,33714,49920,61960,78442,91505,123067,141786,164509,184443,220098,230887,249448,267641,288397,310103
T126,90h,2015-08-16T20:01Z,33703,49890,61959,78442,91502,123066,141796,163888,184451,220092,230944,250468,269468,288413,310105
G123,90h,2015-08-16T17:32Z,32406,50881,63140,88644,101057,107940,137020,160546,178723,207513,222581,248606,270188,288755,310195
G087,90h,2015-08-16T17:31Z,32896,53929,64755,81404,93532,98665,138822,162928,183295,223189,233307,253278,269014,288938,310204
S224,90h,2015-08-16T19:46Z,36058,53447,63235,82367,95182,121252,136698,156041,173841,207106,218379,240188,257611,294723,310225
H150,90h,2015-08-16T17:45Z,31325,58666,67559,87859,99029,116075,137361,159613,179924,227882,236660,256546,275822,294991,310249
M006,90h,2015-08-16T18:46Z,35191,50763,59450,75132,86687,94845,117473,152215,169911,194741,218599,240588,263501,290330,310286
K020,90h,2015-08-16T18:17Z,35023,54288,66861,83775,97472,105534,144496,164290,183497,211027,230388,253161,273255,292373,310301
M212,90h,2015-08-16T18:46Z,37003,62498,75599,95227,109238,117656,136089,172542,191669,211119,229093,251839,273823,295005,310303
S239,90h,2015-08-16T19:47Z,35937,54786,65314,83773,99613,120279,139976,158033,174975,214079,225804,243843,259600,296344,310307
T318,90h,2015-08-16T20:02Z,33667,50586,62973,76477,90899,97585,128967,150684,166218,186220,215931,235803,260733,294379,310332
H001,90h,2015-08-16T17:45Z,29492,49638,59531,80492,99174,115698,137484,160060,180093,227882,236666,256575,275841,294783,310335
L284,90h,2015-08-16T18:31Z,34048,52788,63341,81699,92238,98497,137573,156014,175083,192973,222162,242983,263985,282559,310345
R012,90h,2015-08-16T19:32Z,37766,56594,68480,88690,100498,118517,139028,161492,180966,219243,230887,251364,272692,294051,310347
H110,90h,2015-08-16T18:17Z,36886,54323,67656,87458,116002,124380,145672,169798,188789,211097,230497,250722,267924,294624,310355
G275,90h,2015-08-16T17:30Z,33601,52219,61366,78587,89396,94552,114611,148700,167397,189932,203796,228971,248125,268164,310371
T022,90h,2015-08-16T20:01Z,36704,55418,68502,86803,105382,119007,140937,162150,179842,215558,227509,248360,266745,296145,310379
S175,90h,2015-08-16T19:45Z,33263,53755,66513,82284,95022,102352,135315,153979,174933,211037,223212,244223,262624,288627,310389
J167,90h,2015-08-16T18:01Z,37067,54438,66072,83587,114479,120190,140053,161850,180176,218203,230535,249164,268465,288615,310397
J166,90h,2015-08-16T18:01Z,37071,54498,66076,83595,114492,120178,140053,161858,180180,218209,230533,249168,268469,288657,310398
M190,90h,2015-08-16T18:46Z,34528,52226,64213,82109,94314,117186,137424,158324,177079,216397,230789,255327,271333,290951,310416
M001,90h,2015-08-16T18:46Z,32533,47763,58714,75559,85843,91533,130837,149192,166477,183718,215823,234821,248580,263899,310439
M245,90h,2015-08-16T18:46Z,32949,55236,64251,79066,96985,102321,139100,155468,174198,212211,222155,237928,259705,300844,310450
J009,90h,2015-08-16T18:02Z,41628,59590,71584,89907,105467,113426,144412,165618,189719,214401,229111,250089,272294,294488,310493
L222,90h,2015-08-16T18:31Z,45310,67837,78704,99095,123806,130635,155402,172038,188407,219413,233370,250950,269779,294290,310523
P104,90h,2015-08-16T19:16Z,36691,56564,67655,85028,99231,108116,138137,159965,178259,197571,221491,241855,259986,275246,310524
P201,90h,2015-08-16T19:17Z,34515,62078,76328,92590,108968,114599,151440,173957,194244,221916,234705,257186,275187,295311,310533
F140,90h,2015-08-16T17:16Z,34250,61007,72111,87987,102494,108887,142912,164021,185285,216626,234416,252759,270962,286355,310538
F139,90h,2015-08-16T17:16Z,34253,61026,72114,87989,102435,108891,143157,164020,185284,216626,234427,252823,270995,286361,310539
J270,90h,2015-08-16T18:01Z,32599,51642,63769,87675,97867,104193,143142,161352,177384,196777,226601,244969,262615,273453,310552
L144,90h,2015-08-16T18:32Z,39900,56775,69111,87714,101291,132331,147261,164677,185169,223170,233320,249198,267893,295987,310557
J068,90h,2015-08-16T18:01Z,32602,50471,63335,87720,97248,102453,142177,160425,177283,197560,226555,244639,260822,274115,310562
L239,90h,2015-08-16T18:31Z,38136,57502,68106,87395,112633,119890,141336,161334,182973,210812,227523,248956,268818,297987,310575
