code,geography,catgory,value
E06000039,LA,6,34397
E06000039,LA,7,4985
E06000039,LA,8,2469
E06000039,LA,9,7173
E06000039,LA,10,4848
E06000040,LA,-8,28645
E06000040,LA,1,60316
E06000040,LA,2,458
E06000040,LA,3,136
E06000040,LA,4,13566
E06000040,LA,5,697
E06000040,LA,6,27410
E06000040,LA,7,1942
E06000040,LA,8,1938
E06000040,LA,9,7759
E06000040,LA,10,6553
E06000041,LA,-8,36458
E06000041,LA,1,75135
E06000041,LA,2,343
E06000041,LA,3,188
E06000041,LA,4,16112
E06000041,LA,5,670
E06000041,LA,6,28150
E06000041,LA,7,1480
E06000041,LA,8,1809
E06000041,LA,9,7418
E06000041,LA,10,6914
E06000042,LA,-8,62209
E06000042,LA,1,98539
E06000042,LA,2,617
E06000042,LA,3,274
E06000042,LA,4,30677
E06000042,LA,5,1333
E06000042,LA,6,58227
E06000042,LA,7,3555
E06000042,LA,8,4734
E06000042,LA,9,15045
E06000042,LA,10,9784
E06000043,LA,-8,41421
E06000043,LA,1,70444
E06000043,LA,2,3447
E06000043,LA,3,204
E06000043,LA,4,35810
E06000043,LA,5,4506
E06000043,LA,6,82077
E06000043,LA,7,2359
E06000043,LA,8,3887
E06000043,LA,9,15510
E06000043,LA,10,8934
E06000044,LA,-8,37174
E06000044,LA,1,58568
E06000044,LA,2,662
E06000044,LA,3,181
E06000044,LA,4,24898
E06000044,LA,5,1354
E06000044,LA,6,52564
E06000044,LA,7,1908
E06000044,LA,8,3319
E06000044,LA,9,12682
E06000044,LA,10,8051
E06000045,LA,-8,44538
E06000045,LA,1,69945
E06000045,LA,2,612
E06000045,LA,3,237
E06000045,LA,4,29146
E06000045,LA,5,1725
E06000045,LA,6,63392
E06000045,LA,7,2939
E06000045,LA,8,3715
E06000045,LA,9,13775
E06000045,LA,10,8741
E06000046,LA,-8,20820
E06000046,LA,1,53047
E06000046,LA,2,438
E06000046,LA,3,91
E06000046,LA,4,15840
E06000046,LA,5,594
E06000046,LA,6,24822
E06000046,LA,7,1077
E06000046,LA,8,2283
E06000046,LA,9,9846
E06000046,LA,10,8657
E06000047,LA,-8,87987
E06000047,LA,1,182227
E06000047,LA,2,1096
E06000047,LA,3,263
E06000047,LA,4,58260
E06000047,LA,5,2293
E06000047,LA,6,106281
E06000047,LA,7,2941
E06000047,LA,8,8950
E06000047,LA,9,30651
E06000047,LA,10,27814
E06000049,LA,-8,69245
E06000049,LA,1,158356
E06000049,LA,2,969
E06000049,LA,3,242
E06000049,LA,4,45192
E06000049,LA,5,2166
E06000049,LA,6,68085
E06000049,LA,7,2795
E06000049,LA,8,5322
E06000049,LA,9,21893
E06000049,LA,10,20101
E06000050,LA,-8,61728
E06000050,LA,1,133958
E06000050,LA,2,947
E06000050,LA,3,252
E06000050,LA,4,40942
E06000050,LA,5,1802
E06000050,LA,6,67974
E06000050,LA,7,2225
E06000050,LA,8,4711
E06000050,LA,9,19558
E06000050,LA,10,17988
E06000051,LA,-8,50794
E06000051,LA,1,129825
E06000051,LA,2,866
E06000051,LA,3,211
E06000051,LA,4,36731
E06000051,LA,5,1483
E06000051,LA,6,54639
E06000051,LA,7,2324
E06000051,LA,8,4282
E06000051,LA,9,17439
E06000051,LA,10,17683
E06000052,LA,-8,92815
E06000052,LA,1,216981
E06000052,LA,2,1766
E06000052,LA,3,416
E06000052,LA,4,67762
E06000052,LA,5,2950
E06000052,LA,6,100822
E06000052,LA,7,3833
E06000052,LA,8,7803
E06000052,LA,9,36295
E06000052,LA,10,31005
E06000053,LA,-8,324
E06000053,LA,1,889
E06000053,LA,2,0
E06000053,LA,3,2
E06000053,LA,4,260
E06000053,LA,5,0
E06000053,LA,6,282
E06000053,LA,7,29
E06000053,LA,8,28
E06000053,LA,9,93
E06000053,LA,10,122
E06000054,LA,-8,90045
E06000054,LA,1,207441
E06000054,LA,2,1300
